Title,IMDb_rating,Year
The People's Story,9.5,2000
Marty's Project,9.5,2010
Loving Carmen,9.3,2016
The Shawshank Redemption,9.3,1994
The Godfather,9.2,1972
Fuga dalla Morte,9.2,2023
12 Angry Men,9.0,1957
The Dark Knight,9.0,2008
The Lord of the Rings: The Return of the King,9.0,2003
The Godfather Part II,9.0,1974
Schindler's List,9.0,1993
Fast Shark III: Fastest Shark,9.0,2023
Pulp Fiction,8.9,1994
The Lord of the Rings: The Fellowship of the Ring,8.9,2001
A Thousand Voices,8.9,2014
The Message,8.9,1976
12th Fail,8.9,2023
"The Good, the Bad and the Ugly",8.8,1966
Fight Club,8.8,1999
The Lord of the Rings: The Two Towers,8.8,2002
Christmas Mouse,8.8,2022
Inception,8.8,2010
Forrest Gump,8.8,1994
Saving for the Day,8.8,2023
Captain Callum Explores the Universe,8.8,2021
Eternity Hill,8.8,2016
Per Aspera,8.8,2020
Star Wars: Episode V - The Empire Strikes Back,8.7,1980
The Matrix,8.7,1999
Goodfellas,8.7,1990
Interstellar,8.7,2014
One Flew Over the Cuckoo's Nest,8.7,1975
Life Is Beautiful,8.6,1997
Terminator 2: Judgment Day,8.6,1991
Saving Private Ryan,8.6,1998
Star Wars: Episode IV - A New Hope,8.6,1977
Spirited Away,8.6,2001
It's a Wonderful Life,8.6,1946
City of God,8.6,2002
The Silence of the Lambs,8.6,1991
Spider-Man: Across the Spider-Verse,8.6,2023
Harakiri,8.6,1962
The Green Mile,8.6,1999
Se7en,8.6,1995
Dune: Part Two,8.6,2024
Seven Samurai,8.6,1954
Who Wants to Live Forever?,8.6,2022
Amare,8.6,2018
Lo que pudo ser 2084,8.6,2021
Adolescence Changes in the Coronavirus Environment. How does a teenager react to a claustrophobic pandemic?,8.6,2021
Dead Grid,8.6,2017
Arrows of Time,8.6,2017
The Lion King,8.5,1994
The Intouchables,8.5,2011
Rear Window,8.5,1954
Back to the Future,8.5,1985
Grave of the Fireflies,8.5,1988
Psycho,8.5,1960
Alien,8.5,1979
The Prestige,8.5,2006
Gladiator,8.5,2000
On the Edge of Black and White,8.5,2008
Casablanca,8.5,1942
Senna,8.5,2010
The Usual Suspects,8.5,1995
Whiplash,8.5,2014
Léon: The Professional,8.5,1994
Parasite,8.5,2019
The Problem with Honor,8.5,2013
Django Unchained,8.5,2012
City Lights,8.5,1931
Modern Times,8.5,1936
American History X,8.5,1998
The Pianist,8.5,2002
Once Upon a Time in the West,8.5,1968
Cinema Paradiso,8.5,1988
The Departed,8.5,2006
Futurus - Robot contro uomini,8.5,2019
Inseguito,8.5,2002
The Battle for First Chair Opening Day Dreams PinPin Twenty,8.5,2022
The Reflection of Kripto,8.5,2016
Edgar Allan Poe's Plan 13: The House of Elvis,8.5,1986
Ratherman,8.5,2012
Who's Changing: An Adventure in Time with Fans,8.5,2014
Paths of Glory,8.4,1957
The Cove,8.4,2009
Witness for the Prosecution,8.4,1957
Amadeus,8.4,1984
