Title,IMDb_rating,Year,Certificates,Genre,Director,Star_cast,MetaScore,Duration_minutes
Gladiator,8.5,2000,R,Action,Ridley Scott,David FranzoniJohn LoganWilliam Nicholson,67,155
Mission: Impossible - Dead Reckoning Part One,7.7,2023,PG-13,Action,Christopher McQuarrie,Tom CruiseHayley AtwellVing Rhames,81,163
Rebel Moon - Part Two: The Scargiver,5.2,2024,PG-13,Action,Zack Snyder,Zack SnyderKurt JohnstadShay Hatten,35,122
Inglourious Basterds,8.4,2009,R,Adventure,Quentin Tarantino,Brad PittDiane KrugerEli Roth,69,153
Borderlands,7.1,2024,R,Action,Eli Roth,Eli RothJoe Crombie,66.9,116.3
Jurassic Park,8.2,1993,PG-13,Action,Steven Spielberg,Michael CrichtonDavid Koepp,68,127
The Fifth Element,7.6,1997,PG-13,Action,Luc Besson,Luc BessonRobert Mark Kamen,52,126
Inside Out,8.1,2015,PG,Animation,Pete Docter,Pete DocterRonnie Del CarmenMeg LeFauve,94,95
Descendants: The Rise of Red,7.1,2024,TV-G,Action,Jennifer Phang,Rita OraJoshua ColleyChina Anne McClain,66.9,116.3
Wish,5.6,2023,PG,Animation,Chris Buck,Jennifer LeeAllison MooreChris Buck,47,95
The Hunger Games,7.2,2012,PG-13,Action,Gary Ross,Gary RossSuzanne CollinsBilly Ray,68,142
Rebel Moon - Part One: A Child of Fire,5.6,2023,PG-13,Action,Zack Snyder,Zack SnyderKurt JohnstadShay Hatten,31,133
Harry Potter and the Sorcerer's Stone,7.6,2001,PG,Adventure,Chris Columbus,Daniel RadcliffeRupert GrintEmma Watson,65,152
Wonka,7,2023,PG,Adventure,Paul King,Roald DahlPaul KingSimon Farnaby,66,116
Inception,8.8,2010,PG-13,Action,Christopher Nolan,Leonardo DiCaprioJoseph Gordon-LevittElliot Page,74,148
The Lord of the Rings: The Fellowship of the Ring,8.9,2001,PG-13,Action,Peter Jackson,J.R.R. TolkienFran WalshPhilippa Boyens,92,178
Twister,6.5,1996,PG-13,Action,Jan de Bont,Helen HuntBill PaxtonCary Elwes,68,113
Damsel,6.1,2024,PG-13,Action,Juan Carlos Fresnadillo,Millie Bobby BrownRay WinstoneAngela Bassett,46,110
Dune,6.3,1984,PG-13,Action,David Lynch,Kyle MacLachlanVirginia MadsenFrancesca Annis,41,137
Arthur the King,7,2024,PG-13,Adventure,Simon Cellan Jones,Mark WahlbergSimu LiuJuliet Rylance,54,107
Kung Fu Panda 4,6.3,2024,PG,Animation,Mike Mitchell,Jonathan AibelGlenn BergerDarren Lemke,54,94
Mad Max Beyond Thunderdome,6.2,1985,PG-13,Action,George Miller,Terry HayesGeorge MillerByron Kennedy,71,107
Manjummel Boys,8.4,2024,R,Adventure,Chidambaram,Soubin ShahirSreenath BhasiBalu Varghese,66.9,116.3
Golden Kamuy,6.4,2024,R,Action,Shigeaki Kubo,Kento YamazakiAnna YamadaYûma Yamoto,66.9,116.3
